title,mileage,price,location,link,date_scraped
2020 Nissan altima 2.5 Platinum Sedan 4D,62K miles,"$1,799","Phoenix, AZ",www.facebook.com/marketplace/item/614338780154705/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Ford focus,180K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/528002966120380/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Audi a4 1.8T Convertible 2D,69K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/394116026245118/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 S Sedan 4D,131K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/740130280858967/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Nissan altima 2.5s,180K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/539571664681909/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Dodge journey Crossroad Plus Sport Utility 4D,97K miles,"$2,200","Phoenix, AZ",www.facebook.com/marketplace/item/847554373279359/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan maxima S Sedan 4D,105K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/1003687877702964/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Chevrolet malibu Hybrid Sedan 4D,84K miles,"$1,799","Phoenix, AZ",www.facebook.com/marketplace/item/1301762617324789/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chrysler 300 Limited Sedan 4D,105K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/1275555483391523/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Hyundai elantra Eco Sedan 4D,48K miles,"$1,700","Phoenix, AZ",www.facebook.com/marketplace/item/5897656660287149/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Honda accord,37K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/3447860312160001/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Audi a4 1.8T Convertible 2D,130K miles,$99,"Phoenix, AZ",www.facebook.com/marketplace/item/1526793881165135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Dodge charger,50K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/1524617314678759/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chevrolet malibu lt,130K miles,"$10,500","Phoenix, AZ",www.facebook.com/marketplace/item/914832372985702/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 S Sedan 4D,50K miles,"$1,800","Phoenix, AZ",www.facebook.com/marketplace/item/911007083357857/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1999 Mercury sable LS Wagon 4D,101K miles,"$1,750","Phoenix, AZ",www.facebook.com/marketplace/item/713169447135200/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2002 Honda civic LX Sedan 4D,205K miles,"$2,950","Phoenix, AZ",www.facebook.com/marketplace/item/744242797130534/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Honda accord LX Sedan 4D,126K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/982455339407448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet malibu LS Sedan 4D,91K miles,$600,"Phoenix, AZ",www.facebook.com/marketplace/item/845219159967529/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Toyota camry LE Sedan 4D,45K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/1883307795389081/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Chevrolet impala,235K miles · Dealership,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/2098333493711144/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Honda accord,140K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/1126155321394701/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Chrysler 300,90K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/571415468192376/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Ford fusion,170K miles,"$3,400","Phoenix, AZ",www.facebook.com/marketplace/item/686849489906010/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet malibu,91K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/498617845731776/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet cruze LS Sedan 4D,195K miles,"$5,600","Phoenix, AZ",www.facebook.com/marketplace/item/831692234742120/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Nissan sentra Sedan 4D,200K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/885578772698136/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Chrysler pt cruiser,100K miles,"$3,300","Phoenix, AZ",www.facebook.com/marketplace/item/413562387652996/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Nissan altima 2.5 Sedan 4D,128K miles,"$5,200","Phoenix, AZ",www.facebook.com/marketplace/item/683389036869139/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan altima 3.5 SR Sedan 4D,75K miles,"$9,000","Phoenix, AZ",www.facebook.com/marketplace/item/726778992245687/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Ford focus ZX3 S Hatchback 2D,111K miles,"$3,200","Phoenix, AZ",www.facebook.com/marketplace/item/699178955024472/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chevrolet malibu LS Sedan 4D,148K miles,"$8,999","Phoenix, AZ",www.facebook.com/marketplace/item/879538086580036/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Ford fusion,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/1438705240268447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2007 Ford focus,111K miles,"$3,400","Phoenix, AZ",www.facebook.com/marketplace/item/2444174832427006/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Chrysler 200 Limited Convertible 2D,100K miles,"$4,900","Phoenix, AZ",www.facebook.com/marketplace/item/888884438981410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Chevrolet malibu,170K miles,"$2,100","Phoenix, AZ",www.facebook.com/marketplace/item/150692307839109/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Hyundai elantra Limited Sedan 4D,127K miles,"$6,399","Phoenix, AZ",www.facebook.com/marketplace/item/5935652199857221/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Hyundai sonata Limited Sedan 4D,149K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/509053831416727/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Jeep librete,167K miles,"$2,600","Glendale, AZ",www.facebook.com/marketplace/item/865085654594277/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Mazda cx-7,158K miles,"$2,950","Avondale, AZ",www.facebook.com/marketplace/item/729501521867140/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
