city,facebook_code
phoenix,phoenix
colorado springs,coloradosprings
rexburg,109379399080927
san francisco,sanfrancisco
american falls idaho,107321972630622
san diego,sandiego
los angeles,la
miami,miami
charlotte,charlotte
raleigh,raleigh
provo,106066949424984
denver,denver
new york,nyc
chicago,chicago
houston,houston
philadelphia PA,philly
san antonio,sanantonio
dallas,dallas
la paz,104001876301959
austin,austin
jacksonville,111879628828536
hattiesburg,108528479168913
tallahassee,107903159238479
idaho falls,105590229473679
portland OR,portland
Fort Worth TX,fortworth
Columbus OH,columbusohio
San Jose CA,sanjose
Seattle WA,seattle
Washington DC,washingtondc
Boston MA,boston
Nashville TN,nashville
El Paso TX,elpaso
Detroit MI,detroit
Memphis TN,memphis
Oklahoma City OK,oklahomacity
Las Vegas NV,lasvegas
Louisville KY,louisville
Baltimore MD,baltimore
Milwaukee WI,milwaukee
Albuquerque NM,albuquerque
Tucson AZ,tucson
Fresno CA,fresno
Mesa AZ,mesa
Sacramento CA,sacramento
Atlanta GA,atlanta
Kansas City MO,kansascity
Miami FL,miami
Omaha NE,omaha
Long Beach CA,longbeach
Virginia Beach VA,virginiabeach
Oakland CA,oakland
Minneapolis MN,minneapolis
Tulsa OK,tulsa
Wichita KS,wichita
New Orleans LA,neworleans
Arlington TX,arlington
