,index,word,frequency
5,5,sedan,17372
3,3,accord,4030
46,46,sport,3586
18,18,altima,3562
19,19,civic,2760
33,33,se,2707
9,9,s,2672
4,4,lx,2436
20,20,2.5,2262
21,21,ex,2248
60,60,utility,2162
37,37,coupe,2061
32,32,fusion,1748
2,2,wagon,1666
121,121,convertible,1394
11,11,malibu,1227
14,14,sonata,1216
28,28,lt,1084
13,13,limited,1032
10,10,hatchback,1027
7,7,focus,973
6,6,sentra,924
100,100,maxima,922
51,51,mustang,862
1,1,ls,849
67,67,optima,782
66,66,ex-l,730
150,150,sv,723
12,12,elantra,709
126,126,impala,689
184,184,taurus,666
56,56,sel,585
70,70,hybrid,580
72,72,sl,566
42,42,series,566
52,52,gt,562
49,49,touring,503
53,53,premium,496
211,211,gls,474
35,35,cruze,473
61,61,grand,453
213,213,versa,447
242,242,impreza,440
29,29,charger,440
22,22,outback,430
107,107,3,418
47,47,200,397
148,148,mazda3,385
30,30,sxt,375
175,175,dx,357
236,236,cr-v,347
168,168,2.5i,332
328,328,g6,322
279,279,sebring,320
106,106,rogue,300
45,45,cruiser,287
318,318,3.5,287
44,44,pt,285
237,237,mazda6,269
124,124,soul,269
164,164,jetta,256
102,102,a4,250
103,103,2.0t,250
149,149,i,247
116,116,durango,246
62,62,cherokee,243
243,243,wrx,241
87,87,pickup,240
568,568,roadster,235
40,40,300,227
161,161,dart,211
120,120,miata,205
119,119,mx-5,204
68,68,forte,201
91,91,ft,197
223,223,quattro,196
89,89,6,194
97,97,r/t,185
58,58,explorer,183
43,43,camaro,174
370,370,sr,174
169,169,fit,173
332,332,journey,173
88,88,4d,169
264,264,cobalt,164
244,244,ltz,163
230,230,equinox,161
257,257,legacy,158
202,202,minivan,155
147,147,murano,155
160,160,cooper,151
95,95,5,150
218,218,deluxe,147
543,543,ion,145
27,27,edition,144
76,76,1500,142
273,273,avenger,140
69,69,escape,130
186,186,gs,125
297,297,eclipse,122
39,39,es,121
396,396,five,120
397,397,hundred,120
386,386,xlt,117
105,105,bed,116
140,140,q50,116
530,530,accent,116
321,321,titanium,114
156,156,beetle,112
115,115,3.2,111
75,75,silverado,109
31,31,plus,109
411,411,car,108
293,293,tl,105
54,54,passat,102
167,167,z3,102
266,266,sorento,101
239,239,premier,100
255,255,neon,99
127,127,ss,99
578,578,ses,98
339,339,rio,97
123,123,turbo,96
253,253,forester,95
306,306,awd,93
410,410,town,93
282,282,new,92
402,402,spectra,92
165,165,gl,91
139,139,1/2,90
65,65,caliber,90
144,144,f-150,89
187,187,leaf,88
232,232,fe,88
384,384,integra,85
446,446,slk-class,82
317,317,crossfire,82
259,259,2.0i,81
235,235,cavalier,81
296,296,v6,79
460,460,zx4,79
57,57,clk-class,79
163,163,pilot,78
283,283,fiesta,78
569,569,z4,78
104,104,short,78
754,754,mazdaspeed3,78
205,205,eos,77
609,609,tdi,76
207,207,top,76
201,201,odyssey,75
48,48,350z,75
101,101,hhr,75
436,436,insight,74
206,206,hard,73
227,227,corvette,73
376,376,sx,72
528,528,cabriolet,72
353,353,l,72
231,231,santa,71
238,238,other,70
491,491,300zx,69
344,344,suv,69
501,501,tahoe,69
17,17,vue,68
8,8,zx3,68
285,285,m3,68
473,473,gxe,67
84,84,ram,67
287,287,mkz,65
0,0,sable,65
189,189,1.8t,65
118,118,g35,65
298,298,spyder,65
831,831,2,64
439,439,eco,64
111,111,edge,63
322,322,lacrosse,63
342,342,am,63
199,199,ranger,62
466,466,tsx,62
589,589,solstice,62
337,337,lancer,62
63,63,laredo,61
151,151,(2017.5),61
178,178,challenger,59
195,195,special,58
377,377,si,57
869,869,200s,57
73,73,1,57
261,261,victoria,56
59,59,platinum,56
74,74,300c,56
198,198,mdx,56
233,233,lesabre,54
260,260,crown,54
379,379,gle,53
327,327,trax,52
286,286,+,52
481,481,a3,52
334,334,cxl,52
108,108,prix,51
234,234,custom,50
462,462,de,50
764,764,tt,50
292,292,traverse,50
385,385,expedition,50
464,464,avant,49
736,736,stratus,49
382,382,c-class,48
222,222,a6,48
280,280,century,48
141,141,3.0t,47
456,456,2d,47
770,770,thunderbird,47
341,341,liberty,47
675,675,sti,46
216,216,c-max,46
208,208,lx-p,46
554,554,se-r,45
527,527,xt,45
289,289,4dr,44
185,185,escort,44
86,86,slt,44
93,93,aura,43
94,94,xe,43
500,500,luxury,42
387,387,cts,42
499,499,2.0l,41
1056,1056,sky,41
644,644,s4,40
522,522,magnum,40
210,210,cx,40
129,129,regal,40
71,71,sonic,39
192,192,pathfinder,39
641,641,amg,39
131,131,sierra,38
41,41,m,38
36,36,veloster,38
570,570,3.0i,38
137,137,long,38
453,453,x,37
130,130,200c,37
566,566,rs,37
739,739,galant,36
23,23,3.0,36
38,38,3d,36
618,618,base,35
391,391,4,35
743,743,s2000,35
921,921,protege,35
534,534,lxi,35
284,284,marquis,34
740,740,ct200h,34
209,209,lucerne,34
256,256,srt-4,34
661,661,g37,34
113,113,yukon,34
373,373,value,33
90,90,1/4,33
226,226,x3,33
329,329,crew,33
338,338,vibe,32
304,304,aveo,32
365,365,mirage,32
486,486,pacifica,32
505,505,a5,32
776,776,komfort,32
214,214,genesis,32
520,520,v70,32
295,295,acadia,31
476,476,3.7,31
519,519,carlo,31
518,518,monte,31
50,50,mazda5,31
1085,1085,cars,31
110,110,ecoboost,31
621,621,prelude,30
813,813,air,30
204,204,milan,30
409,409,is250,30
117,117,suburban,30
55,55,2.5l,30
463,463,ville,30
