listing_title,tradein_title,listing_price,tradein_value,difference,location,url
Apple iPhone 13 PROMAX,iPhone 13,1500.0,300,-1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/739758248073723/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 13 PROMAX,iPhone 13 Pro,1500.0,370,-1130.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/739758248073723/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 pro max 256 GB Blue,iPhone 13,1099.0,300,-799.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1124953345502246/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 pro max 256 GB Blue,iPhone 13 Pro,1099.0,370,-729.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1124953345502246/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 pro max 256 GB Blue,iPhone 13 Pro Max,1099.0,450,-649.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1124953345502246/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max,iPhone 13,900.0,300,-600.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1426306328261224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 13 Pro Max,iPhone 13,900.0,300,-600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1408253940122495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 13 Pro Max,iPhone 13 Pro,900.0,370,-530.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1408253940122495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max,iPhone 13 Pro,900.0,370,-530.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1426306328261224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max,iPhone 12,700.0,200,-500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1411488532820422/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
