title,price,url,location
iPhone 13 Black,220.0,https://www.facebook.com/marketplace/item/25267832879474877/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
"iPhone 11 Pro, T-Mobile",200.0,https://www.facebook.com/marketplace/item/946680627001019/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 Mini (Like New!!),320.0,https://www.facebook.com/marketplace/item/1171258027382740/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14,525.0,https://www.facebook.com/marketplace/item/939592654417727/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 64 gbh cricket wireless,200.0,https://www.facebook.com/marketplace/item/1335329823777921/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Apple iPhone 12 Pro,360.0,https://www.facebook.com/marketplace/item/220463834455284/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Apple iPhone 12 NEW,400.0,https://www.facebook.com/marketplace/item/1006808864293600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
"Apple iPhone XS Max 64 GB, Unlocked, Black, 6.5-inch screen",160.0,https://www.facebook.com/marketplace/item/315703094924014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Unlocked iPhone 12,380.0,https://www.facebook.com/marketplace/item/1007632154058650/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13 Pro Graphite 128GB,500.0,https://www.facebook.com/marketplace/item/776817697508281/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
APPLE IPHONE 13 128GB T-MOBILE,400.0,https://www.facebook.com/marketplace/item/765051602450108/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14 unlocked. No sim restrictions. $460,460.0,https://www.facebook.com/marketplace/item/475833441565290/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone XR 128gb,125.0,https://www.facebook.com/marketplace/item/443502275061230/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Unlocked iPhone 12 64GB,200.0,https://www.facebook.com/marketplace/item/1748832812316656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13,480.0,https://www.facebook.com/marketplace/item/985945193236600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Monument, CO"
iPhone 11 Pro Unlocked + Screen Protectors,400.0,https://www.facebook.com/marketplace/item/1676764036400725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 14 98% Battery,500.0,https://www.facebook.com/marketplace/item/380109521163914/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14 Plus 128gb fully unlocked.,400.0,https://www.facebook.com/marketplace/item/1115491086174906/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14 AT&T,325.0,https://www.facebook.com/marketplace/item/325058553969880/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone13,300.0,https://www.facebook.com/marketplace/item/332929536259410/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 12 pro max,250.0,https://www.facebook.com/marketplace/item/2824610514357435/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12,200.0,https://www.facebook.com/marketplace/item/1728875577641925/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Like new iPhone 12 white,450.0,https://www.facebook.com/marketplace/item/449206501060840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 15 pro Max,900.0,https://www.facebook.com/marketplace/item/443465494964469/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 64gb,230.0,https://www.facebook.com/marketplace/item/1138115500743791/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 14 Plusu 512 GB,500.0,https://www.facebook.com/marketplace/item/944092967387285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
I phone 11 unlocked,200.0,https://www.facebook.com/marketplace/item/3686982961558418/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB,675.0,https://www.facebook.com/marketplace/item/842451611122069/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12,300.0,https://www.facebook.com/marketplace/item/771750888475527/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13,400.0,https://www.facebook.com/marketplace/item/408555228477174/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 unlocked,350.0,https://www.facebook.com/marketplace/item/833967648789070/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Fountain, CO"
Iphone 15 pro max,500.0,https://www.facebook.com/marketplace/item/483630530770576/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone 13 pro max,450.0,https://www.facebook.com/marketplace/item/245609445286773/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 12 Pro Max,400.0,https://www.facebook.com/marketplace/item/811185033923487/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Franktown, CO"
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB ANY CARRIER,675.0,https://www.facebook.com/marketplace/item/427009566808718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
UNLOCKED APPLE IPHONE 12 64GB ANY CARRIER,280.0,https://www.facebook.com/marketplace/item/428550329944610/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13 Pro 256g Excellent Condition,540.0,https://www.facebook.com/marketplace/item/330498153277581/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
S23 128gb fully unlocked. Works perfectly,400.0,https://www.facebook.com/marketplace/item/3616486241950567/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 12 mini,400.0,https://www.facebook.com/marketplace/item/983286219681063/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
